,track_id,track_name,artist_name,album_name,artist_id,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,0V3wPSX9ygBnCm8psDIegu,Anti-Hero,Taylor Swift,Midnights,06HL4z0CvFAxyc27GXpf02,94,200690,False,0.637,0.643,4,-6.571,1,0.0519,0.13,1.8e-06,0.142,0.533,97.008,4
1,1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Taylor Swift,Lover,06HL4z0CvFAxyc27GXpf02,92,178426,False,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,4
2,1p80LdxRV74UKvL8gnD7ky,Blank Space,Taylor Swift,1989,06HL4z0CvFAxyc27GXpf02,81,231826,False,0.753,0.678,5,-5.421,1,0.0644,0.085,1.64e-06,0.13,0.583,96.006,4
3,4R2kfaDFhslZEMJqAFNpdd,cardigan,Taylor Swift,folklore,06HL4z0CvFAxyc27GXpf02,90,239560,False,0.613,0.581,0,-8.588,0,0.0424,0.537,0.000345,0.25,0.551,130.033,4
4,4lIxdJw6W3Fg4vUIYCB0S5,Style,Taylor Swift,1989,06HL4z0CvFAxyc27GXpf02,81,231000,False,0.598,0.786,2,-5.572,1,0.0383,0.00253,0.0016,0.117,0.456,95.019,4
5,10eBRyImhfqVvkiVEGf0N0,Enchanted,Taylor Swift,Speak Now,06HL4z0CvFAxyc27GXpf02,81,352186,False,0.455,0.623,8,-3.878,1,0.0288,0.0739,0.000424,0.146,0.208,163.893,4
6,7KokYm8cMIXCsGVmUvKtqf,Karma,Taylor Swift,Midnights,06HL4z0CvFAxyc27GXpf02,88,204852,True,0.642,0.62,8,-7.091,1,0.0666,0.0734,0,0.483,0.0969,90.02,4
7,1R0a2iXumgCiFb7HEZ7gUE,Don’t Blame Me,Taylor Swift,reputation,06HL4z0CvFAxyc27GXpf02,90,236413,False,0.615,0.534,9,-6.719,0,0.0386,0.106,1.76e-05,0.0607,0.193,135.917,4
8,5jQI2r1RdgtuT8S3iG8zFC,Lavender Haze,Taylor Swift,Midnights,06HL4z0CvFAxyc27GXpf02,88,202395,True,0.733,0.436,10,-10.489,1,0.08,0.258,0.000573,0.157,0.0976,96.985,4
9,4P9Q0GojKVXpRTJCaL3kyy,All Of The Girls You Loved Before,Taylor Swift,All Of The Girls You Loved Before,06HL4z0CvFAxyc27GXpf02,90,221407,False,0.718,0.467,2,-9.66,1,0.0398,0.707,6.92e-05,0.126,0.396,95.96,3
